#hand determined location (x,y) of <file_name>;<left-eye-center>;<right-eye-center>;<nose-tip>;<mouth-center>
#NOTE:Data files should be in same folder as this text file

#Data set S1
images/S1/1.pgm;26,51;62,50;45,70;44,89
images/S1/2.pgm;31,44;75,44;67,66;58,87
images/S1/3.pgm;25,48;61,44;45,73;45,90
images/S1/4.pgm;15,45;57,41;29,63;32,84
images/S1/5.pgm;34,44;75,42;71,63;63,85
images/S1/6.pgm;13,47;54,43;26,65;32,86
images/S1/7.pgm;23,45;62,43;43,58;43,81
images/S1/8.pgm;27,46;65,43;49,65;48,85
images/S1/9.pgm;30,37;68,36;53,48;52,73
images/S1/10.pgm;34,52;75,49;64,76;56,91

#Data set S2
images/S2/1.pgm;24,52;59,54;39,67;39,89
images/S2/2.pgm;35,51;68,52;55,65;52,88
images/S2/3.pgm;20,51;55,53;33,65;34,87
images/S2/4.pgm;32,53;65,52;50,68;50,88
images/S2/5.pgm;39,53;73,52;61,67;58,88
images/S2/6.pgm;16,52;50,53;26,68;28,88
images/S2/7.pgm;28,52;61,53;45,69;44,89
images/S2/8.pgm;22,51;57,52;35,66;35,87
images/S2/9.pgm;32,53;67,55;52,69;49,90
images/S2/10.pgm;45,54;77,52;71,69;66,88
